"Investicije za varstvo okolja po statistiènih regijah (1000 EUR), Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";"INVESTICIJE";Investicije za varstvo okolja
"2010";"Pomurska";"Varstvo zraka in klime";435
"2010";"Pomurska";"Ravnanje z odpadki";124166
"2010";"Pomurska";"Upravljanje odpadnih voda";19685
"2010";"Podravska";"Varstvo zraka in klime";2695
"2010";"Podravska";"Ravnanje z odpadki";6330
"2010";"Podravska";"Upravljanje odpadnih voda";3936
"2010";"Koroška";"Varstvo zraka in klime";2033
"2010";"Koroška";"Ravnanje z odpadki";269
"2010";"Koroška";"Upravljanje odpadnih voda";967
"2010";"Savinjska";"Varstvo zraka in klime";46446
"2010";"Savinjska";"Ravnanje z odpadki";5179
"2010";"Savinjska";"Upravljanje odpadnih voda";34246
"2010";"Zasavska";"Varstvo zraka in klime";632
"2010";"Zasavska";"Ravnanje z odpadki";483
"2010";"Zasavska";"Upravljanje odpadnih voda";4558
"2010";"Posavska";"Varstvo zraka in klime";104
"2010";"Posavska";"Ravnanje z odpadki";495
"2010";"Posavska";"Upravljanje odpadnih voda";639
"2010";"Jugovzhodna Slovenija";"Varstvo zraka in klime";2785
"2010";"Jugovzhodna Slovenija";"Ravnanje z odpadki";483
"2010";"Jugovzhodna Slovenija";"Upravljanje odpadnih voda";259
"2010";"Osrednjeslovenska";"Varstvo zraka in klime";15519
"2010";"Osrednjeslovenska";"Ravnanje z odpadki";28700
"2010";"Osrednjeslovenska";"Upravljanje odpadnih voda";26297
"2010";"Gorenjska";"Varstvo zraka in klime";1170
"2010";"Gorenjska";"Ravnanje z odpadki";2172
"2010";"Gorenjska";"Upravljanje odpadnih voda";11471
"2010";"Primorsko-notranjska";"Varstvo zraka in klime";120
"2010";"Primorsko-notranjska";"Ravnanje z odpadki";518
"2010";"Primorsko-notranjska";"Upravljanje odpadnih voda";202
"2010";"Goriška";"Varstvo zraka in klime";1115
"2010";"Goriška";"Ravnanje z odpadki";480
"2010";"Goriška";"Upravljanje odpadnih voda";366
"2010";"Obalno-kraška";"Varstvo zraka in klime";3977
"2010";"Obalno-kraška";"Ravnanje z odpadki";1865
"2010";"Obalno-kraška";"Upravljanje odpadnih voda";2847
"2011";"Pomurska";"Varstvo zraka in klime";444
"2011";"Pomurska";"Ravnanje z odpadki";2609
"2011";"Pomurska";"Upravljanje odpadnih voda";290
"2011";"Podravska";"Varstvo zraka in klime";2703
"2011";"Podravska";"Ravnanje z odpadki";4723
"2011";"Podravska";"Upravljanje odpadnih voda";7504
"2011";"Koroška";"Varstvo zraka in klime";5005
"2011";"Koroška";"Ravnanje z odpadki";8287
"2011";"Koroška";"Upravljanje odpadnih voda";3417
"2011";"Savinjska";"Varstvo zraka in klime";95245
"2011";"Savinjska";"Ravnanje z odpadki";4596
"2011";"Savinjska";"Upravljanje odpadnih voda";11212
"2011";"Zasavska";"Varstvo zraka in klime";1842
"2011";"Zasavska";"Ravnanje z odpadki";596
"2011";"Zasavska";"Upravljanje odpadnih voda";753
"2011";"Posavska";"Varstvo zraka in klime";52
"2011";"Posavska";"Ravnanje z odpadki";90
"2011";"Posavska";"Upravljanje odpadnih voda";321
"2011";"Jugovzhodna Slovenija";"Varstvo zraka in klime";1216
"2011";"Jugovzhodna Slovenija";"Ravnanje z odpadki";580
"2011";"Jugovzhodna Slovenija";"Upravljanje odpadnih voda";518
"2011";"Osrednjeslovenska";"Varstvo zraka in klime";30671
"2011";"Osrednjeslovenska";"Ravnanje z odpadki";12027
"2011";"Osrednjeslovenska";"Upravljanje odpadnih voda";24546
"2011";"Gorenjska";"Varstvo zraka in klime";3764
"2011";"Gorenjska";"Ravnanje z odpadki";2547
"2011";"Gorenjska";"Upravljanje odpadnih voda";10401
"2011";"Primorsko-notranjska";"Varstvo zraka in klime";1130
"2011";"Primorsko-notranjska";"Ravnanje z odpadki";94
"2011";"Primorsko-notranjska";"Upravljanje odpadnih voda";323
"2011";"Goriška";"Varstvo zraka in klime";1573
"2011";"Goriška";"Ravnanje z odpadki";829
"2011";"Goriška";"Upravljanje odpadnih voda";148
"2011";"Obalno-kraška";"Varstvo zraka in klime";564
"2011";"Obalno-kraška";"Ravnanje z odpadki";615
"2011";"Obalno-kraška";"Upravljanje odpadnih voda";2656
"2012";"Pomurska";"Varstvo zraka in klime";578
"2012";"Pomurska";"Ravnanje z odpadki";4682
"2012";"Pomurska";"Upravljanje odpadnih voda";15803
"2012";"Podravska";"Varstvo zraka in klime";2963
"2012";"Podravska";"Ravnanje z odpadki";3363
"2012";"Podravska";"Upravljanje odpadnih voda";3174
"2012";"Koroška";"Varstvo zraka in klime";4255
"2012";"Koroška";"Ravnanje z odpadki";195
"2012";"Koroška";"Upravljanje odpadnih voda";636
"2012";"Savinjska";"Varstvo zraka in klime";159672
"2012";"Savinjska";"Ravnanje z odpadki";1557
"2012";"Savinjska";"Upravljanje odpadnih voda";4141
"2012";"Zasavska";"Varstvo zraka in klime";254
"2012";"Zasavska";"Ravnanje z odpadki";357
"2012";"Zasavska";"Upravljanje odpadnih voda";178
"2012";"Posavska";"Varstvo zraka in klime";182
"2012";"Posavska";"Ravnanje z odpadki";16578
"2012";"Posavska";"Upravljanje odpadnih voda";46542
"2012";"Jugovzhodna Slovenija";"Varstvo zraka in klime";2316
"2012";"Jugovzhodna Slovenija";"Ravnanje z odpadki";926
"2012";"Jugovzhodna Slovenija";"Upravljanje odpadnih voda";2984
"2012";"Osrednjeslovenska";"Varstvo zraka in klime";13941
"2012";"Osrednjeslovenska";"Ravnanje z odpadki";10773
"2012";"Osrednjeslovenska";"Upravljanje odpadnih voda";9328
"2012";"Gorenjska";"Varstvo zraka in klime";24183
"2012";"Gorenjska";"Ravnanje z odpadki";914
"2012";"Gorenjska";"Upravljanje odpadnih voda";1505
"2012";"Primorsko-notranjska";"Varstvo zraka in klime";165
"2012";"Primorsko-notranjska";"Ravnanje z odpadki";1031
"2012";"Primorsko-notranjska";"Upravljanje odpadnih voda";34
"2012";"Goriška";"Varstvo zraka in klime";2337
"2012";"Goriška";"Ravnanje z odpadki";3118
"2012";"Goriška";"Upravljanje odpadnih voda";6511
"2012";"Obalno-kraška";"Varstvo zraka in klime";302
"2012";"Obalno-kraška";"Ravnanje z odpadki";2083
"2012";"Obalno-kraška";"Upravljanje odpadnih voda";12053
"2013";"Pomurska";"Varstvo zraka in klime";322
"2013";"Pomurska";"Ravnanje z odpadki";1623
"2013";"Pomurska";"Upravljanje odpadnih voda";40
"2013";"Podravska";"Varstvo zraka in klime";2227
"2013";"Podravska";"Ravnanje z odpadki";4836
"2013";"Podravska";"Upravljanje odpadnih voda";11807
"2013";"Koroška";"Varstvo zraka in klime";4015
"2013";"Koroška";"Ravnanje z odpadki";629
"2013";"Koroška";"Upravljanje odpadnih voda";680
"2013";"Savinjska";"Varstvo zraka in klime";107349
"2013";"Savinjska";"Ravnanje z odpadki";1283
"2013";"Savinjska";"Upravljanje odpadnih voda";13267
"2013";"Zasavska";"Varstvo zraka in klime";17
"2013";"Zasavska";"Ravnanje z odpadki";2605
"2013";"Zasavska";"Upravljanje odpadnih voda";2184
"2013";"Posavska";"Varstvo zraka in klime";254
"2013";"Posavska";"Ravnanje z odpadki";17181
"2013";"Posavska";"Upravljanje odpadnih voda";4478
"2013";"Jugovzhodna Slovenija";"Varstvo zraka in klime";2668
"2013";"Jugovzhodna Slovenija";"Ravnanje z odpadki";1443
"2013";"Jugovzhodna Slovenija";"Upravljanje odpadnih voda";9584
"2013";"Osrednjeslovenska";"Varstvo zraka in klime";6939
"2013";"Osrednjeslovenska";"Ravnanje z odpadki";19066
"2013";"Osrednjeslovenska";"Upravljanje odpadnih voda";50006
"2013";"Gorenjska";"Varstvo zraka in klime";4600
"2013";"Gorenjska";"Ravnanje z odpadki";2641
"2013";"Gorenjska";"Upravljanje odpadnih voda";2785
"2013";"Primorsko-notranjska";"Varstvo zraka in klime";53
"2013";"Primorsko-notranjska";"Ravnanje z odpadki";2
"2013";"Primorsko-notranjska";"Upravljanje odpadnih voda";64
"2013";"Goriška";"Varstvo zraka in klime";271
"2013";"Goriška";"Ravnanje z odpadki";3369
"2013";"Goriška";"Upravljanje odpadnih voda";13993
"2013";"Obalno-kraška";"Varstvo zraka in klime";5129
"2013";"Obalno-kraška";"Ravnanje z odpadki";1436
"2013";"Obalno-kraška";"Upravljanje odpadnih voda";1603
"2014";"Pomurska";"Varstvo zraka in klime";187
"2014";"Pomurska";"Ravnanje z odpadki";1924
"2014";"Pomurska";"Upravljanje odpadnih voda";3562
"2014";"Podravska";"Varstvo zraka in klime";1864
"2014";"Podravska";"Ravnanje z odpadki";1803
"2014";"Podravska";"Upravljanje odpadnih voda";18475
"2014";"Koroška";"Varstvo zraka in klime";3390
"2014";"Koroška";"Ravnanje z odpadki";393
"2014";"Koroška";"Upravljanje odpadnih voda";17657
"2014";"Savinjska";"Varstvo zraka in klime";90227
"2014";"Savinjska";"Ravnanje z odpadki";3603
"2014";"Savinjska";"Upravljanje odpadnih voda";22204
"2014";"Zasavska";"Varstvo zraka in klime";956
"2014";"Zasavska";"Ravnanje z odpadki";168
"2014";"Zasavska";"Upravljanje odpadnih voda";6450
"2014";"Posavska";"Varstvo zraka in klime";221
"2014";"Posavska";"Ravnanje z odpadki";4254
"2014";"Posavska";"Upravljanje odpadnih voda";2624
"2014";"Jugovzhodna Slovenija";"Varstvo zraka in klime";4013
"2014";"Jugovzhodna Slovenija";"Ravnanje z odpadki";2291
"2014";"Jugovzhodna Slovenija";"Upravljanje odpadnih voda";4901
"2014";"Osrednjeslovenska";"Varstvo zraka in klime";15458
"2014";"Osrednjeslovenska";"Ravnanje z odpadki";36798
"2014";"Osrednjeslovenska";"Upravljanje odpadnih voda";48467
"2014";"Gorenjska";"Varstvo zraka in klime";5548
"2014";"Gorenjska";"Ravnanje z odpadki";1849
"2014";"Gorenjska";"Upravljanje odpadnih voda";23798
"2014";"Primorsko-notranjska";"Varstvo zraka in klime";454
"2014";"Primorsko-notranjska";"Ravnanje z odpadki";34
"2014";"Primorsko-notranjska";"Upravljanje odpadnih voda";8520
"2014";"Goriška";"Varstvo zraka in klime";993
"2014";"Goriška";"Ravnanje z odpadki";1968
"2014";"Goriška";"Upravljanje odpadnih voda";9151
"2014";"Obalno-kraška";"Varstvo zraka in klime";993
"2014";"Obalno-kraška";"Ravnanje z odpadki";1363
"2014";"Obalno-kraška";"Upravljanje odpadnih voda";1127
"2015";"Pomurska";"Varstvo zraka in klime";195
"2015";"Pomurska";"Ravnanje z odpadki";6732
"2015";"Pomurska";"Upravljanje odpadnih voda";13076
"2015";"Podravska";"Varstvo zraka in klime";3096
"2015";"Podravska";"Ravnanje z odpadki";5113
"2015";"Podravska";"Upravljanje odpadnih voda";20791
"2015";"Koroška";"Varstvo zraka in klime";2001
"2015";"Koroška";"Ravnanje z odpadki";918
"2015";"Koroška";"Upravljanje odpadnih voda";1661
"2015";"Savinjska";"Varstvo zraka in klime";29479
"2015";"Savinjska";"Ravnanje z odpadki";2201
"2015";"Savinjska";"Upravljanje odpadnih voda";18229
"2015";"Zasavska";"Varstvo zraka in klime";691
"2015";"Zasavska";"Ravnanje z odpadki";905
"2015";"Zasavska";"Upravljanje odpadnih voda";432
"2015";"Posavska";"Varstvo zraka in klime";185
"2015";"Posavska";"Ravnanje z odpadki";3978
"2015";"Posavska";"Upravljanje odpadnih voda";2702
"2015";"Jugovzhodna Slovenija";"Varstvo zraka in klime";1456
"2015";"Jugovzhodna Slovenija";"Ravnanje z odpadki";2212
