"DEJAVNOST","2010 CO2 (Gg)","2011 CO2 (Gg)","2012 CO2 (Gg)","2013 CO2 (Gg)","2014 CO2 (Gg)","2015 CO2 (Gg)","2016 CO2 (Gg)","2017 CO2 (Gg)"
"SKD dejavnost - SKUPAJ",13320.2,13428.5,12841.1,12384.3,11014.2,11157.0,11663.5,12119.6
"A Kmetijstvo in lov, gozdarstvo, ribištvo",277.2,270.5,280.9,272.6,284.9,284.8,283.9,286.7
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve",243.8,232.9,244.0,241.8,241.5,238.8,239.0,241.6
"A02 Gozdarstvo",33.4,37.6,36.9,30.8,43.4,46.1,44.9,45.1
"A03 Ribištvo in gojenje vodnih organizmov",...,...,...,...,...,...,...,...
"B Rudarstvo",124.0,111.8,106.9,103.5,89.2,92.5,87.2,89.6
"B(05-09) Rudarstvo",124.0,111.8,106.9,103.5,89.2,92.5,87.2,89.6
"C Predelovalne dejavnosti",2984.1,2848.2,2755.9,2801.9,2845.5,2745.8,2752.4,2959.0
"C(10-12) Proizvodnja živil, pijaè in tobaènih izdelkov",183.3,179.4,166.1,162.0,181.1,165.8,165.1,175.0
"C(13-15) Proizvodnja tekstilij, oblaèil, usnja, usnjenih in sorodnih izdelkov",57.0,49.2,45.7,47.0,42.7,39.6,38.6,39.9
"C16 Obdelava in predelava lesa; proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva",58.5,62.0,61.1,52.2,53.5,55.0,55.3,59.9
"C17 Proizvodnja papirja in izdelkov iz papirja",384.8,352.5,340.8,334.5,326.0,313.1,309.0,310.6
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa",24.2,25.7,25.3,24.8,24.1,25.5,23.7,24.4
"C19 Proizvodnja koksa in naftnih derivatov",0.3,0.2,0.1,0.1,0.1,0.0,0.0,-
"C20 Proizvodnja kemikalij, kemiènih izdelkov",223.2,162.7,139.4,147.9,147.3,144.8,146.1,147.2
"C21 Proizvodnja farmacevtskih surovin in preparatov",70.3,65.4,62.9,62.9,61.4,63.9,63.4,63.0
"C22 Proizvodnja izdelkov iz gume in plastiènih mas",107.0,101.3,95.3,94.8,94.7,94.4,92.4,100.0
"C23 Proizvodnja nekovinskih mineralnih izdelkov",976.7,878.6,834.2,926.0,970.3,886.0,873.8,975.2
