"DEJAVNOSTI/TRANSAKCIJE","2010 Tekoèe cene (mio EUR) Proizvodnja","2010 Letna sprememba obsega (%) Proizvodnja","2011 Tekoèe cene (mio EUR) Proizvodnja","2011 Letna sprememba obsega (%) Proizvodnja","2012 Tekoèe cene (mio EUR) Proizvodnja","2012 Letna sprememba obsega (%) Proizvodnja","2013 Tekoèe cene (mio EUR) Proizvodnja","2013 Letna sprememba obsega (%) Proizvodnja","2014 Tekoèe cene (mio EUR) Proizvodnja","2014 Letna sprememba obsega (%) Proizvodnja","2015 Tekoèe cene (mio EUR) Proizvodnja","2015 Letna sprememba obsega (%) Proizvodnja","2016 Tekoèe cene (mio EUR) Proizvodnja","2016 Letna sprememba obsega (%) Proizvodnja","2017 Tekoèe cene (mio EUR) Proizvodnja","2017 Letna sprememba obsega (%) Proizvodnja"
"A Kmetijstvo in lov, gozdarstvo, ribištvo",1520.3,0.3,1693.9,1.8,1614.0,-7.7,1641.1,-0.4,1693.9,5.9,1753.0,8.1,1726.4,-0.3,1718.3,-1.7
"..01 Kmetijska proizvodnja, lov in povezane storitve",1184.5,2.8,1312.9,1.4,1227.9,-9.9,1232.9,-1.0,1296.4,7.0,1340.1,6.6,1289.3,-1.4,1213.5,-6.2
"..02 Gozdarstvo",323.6,-8.2,365.0,2.1,371.9,0.5,394.7,2.0,384.6,2.9,399.6,13.4,423.5,3.4,491.0,12.0
"..03 Ribištvo in gojenje vodnih organizmov",12.2,2.8,16.1,33.7,14.2,-17.6,13.5,-6.9,12.9,-3.6,13.3,1.1,13.6,1.6,13.9,-1.2
"B Rudarstvo (05-09)",295.0,1.6,295.4,-0.3,284.8,-4.3,274.0,-2.0,278.2,2.2,283.0,3.4,280.6,0.9,307.2,9.3
"C Predelovalne dejavnosti",21101.2,8.9,22527.4,2.6,22065.9,-2.9,21912.5,-0.8,22877.8,4.7,23764.0,3.5,24587.9,4.7,27461.6,9.3
"..10 Proizvodnja živil",1458.3,0.9,1575.8,4.4,1546.6,-4.5,1541.2,-3.0,1594.0,3.1,1642.6,4.5,1684.1,4.8,1776.1,3.5
"..11 Proizvodnja pijaè",263.1,-11.0,270.9,-1.2,258.5,-5.1,253.6,-2.8,250.0,-1.5,246.1,-3.4,230.3,-6.5,243.8,6.8
"..12 Proizvodnja tobaènih izdelkov",0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
"..13 Proizvodnja tekstilij",341.0,-8.2,377.7,-0.7,384.4,0.9,325.5,-16.1,321.6,-3.8,307.5,-4.0,319.1,-2.7,347.3,0.2
"..14 Proizvodnja oblaèil",152.4,-30.8,176.0,12.7,149.2,-16.6,136.8,-9.8,127.0,-7.1,127.6,0.9,147.2,9.5,150.6,-2.3
"..15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",259.8,15.4,285.5,1.7,242.1,-15.1,248.6,0.5,279.7,9.6,284.9,1.7,266.6,-6.9,292.5,10.1
"..16 Obdelava, predelava lesa, izdelkov iz lesa...",661.8,9.1,719.5,3.9,710.8,-3.1,701.9,-7.0,740.6,4.6,712.8,-4.1,740.1,1.8,789.8,5.5
"..17 Proizvodnja papirja in izdelkov iz papirja",698.0,4.8,714.8,-2.5,675.9,-4.4,681.2,1.2,729.3,6.5,750.3,3.6,762.2,-0.2,807.8,4.5
"..18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa",398.4,-8.2,416.6,2.8,400.9,-4.1,396.7,-1.5,402.8,1.7,415.3,4.3,414.6,-0.5,417.5,0.2
"..19 Proizvodnja koksa in naftnih derivatov",4.7,-36.1,2.6,-51.7,1.6,-41.3,1.8,14.4,3.2,84.1,4.9,63.0,0.2,-95.6,0.5,125.5
"..20 Proizvodnja kemikalij, kemiènih izdelkov",1306.8,17.1,1401.3,-0.6,1423.1,-1.1,1413.4,1.0,1448.0,2.2,1278.1,-11.3,1191.3,-6.3,1319.1,7.8
"..21 Proizvodnja farmacevtskih surovin in preparatov",1542.9,7.9,1661.6,7.6,1760.0,8.2,1912.7,8.7,1913.5,-0.7,1959.0,2.9,1937.4,-0.2,2200.0,7.1
"..22 Proizvodnja izdelkov iz gume in plastiènih mas",1495.8,15.4,1415.5,-13.0,1280.1,-13.5,1417.6,9.6,1489.1,8.8,1560.7,4.9,1701.7,11.2,1881.5,8.4
"..23 Proizvodnja nekovinskih mineralnih izdelkov",808.7,8.5,807.5,-1.9,782.3,-5.6,770.8,-1.8,782.0,0.9,815.8,3.5,818.6,0.3,848.4,3.8
"..24 Proizvodnja kovin",1210.4,26.2,1504.4,12.6,1453.8,1.8,1425.3,1.4,1545.4,8.7,2108.1,33.2,2110.8,7.2,2451.9,6.5
"..25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",2697.5,9.6,2980.6,4.9,2907.4,-3.6,2965.8,2.3,3043.0,3.2,2742.1,-10.0,2939.1,8.0,3083.5,0.9
"..26 Proizvodnja raèunalnikov, elektronskih, optiènih izdelkov",595.2,14.6,607.3,11.2,614.0,-3.0,583.4,0.7,611.3,7.2,574.4,-13.8,601.0,9.9,686.1,15.6
"..27 Proizvodnja elektriènih naprav",2051.5,20.1,2149.8,1.1,2129.2,-0.7,2110.3,-0.1,2172.9,5.4,2678.7,22.2,2813.6,6.5,3075.9,8.3
"..28 Proizvodnja drugih strojev in naprav",1259.1,0.4,1442.1,12.6,1406.1,-3.8,1354.6,-3.4,1384.8,3.0,1481.2,6.8,1581.5,6.4,1784.8,12.8
"..29 Proizvodnja motornih vozil, prikolic in polprikolic",2774.9,13.0,2765.1,-2.8,2640.2,-5.6,2291.4,-14.6,2622.3,13.1,2636.0,0.5,2705.0,3.9,3511.4,31.6
"..30 Proizvodnja drugih vozil in plovil",88.0,0.8,75.9,-14.6,81.5,5.9,75.2,-8.7,74.3,-4.7,80.2,5.9,82.0,1.7,99.9,18.9
"..31 Proizvodnja pohištva",458.3,-4.7,421.5,-9.9,374.6,-14.0,347.0,-9.1,357.0,3.2,390.3,8.3,423.5,8.6,460.9,8.0
"..32 Druge raznovrstne predelovalne dejavnosti",240.4,-5.3,297.1,18.5,271.0,-13.2,292.4,8.0,314.4,9.1,340.9,7.6,434.5,21.1,471.0,9.4
