"DEJAVNOSTI/TRANSAKCIJE","2010 Tekoèe cene (mio EUR) Dodana vrednost","2011 Tekoèe cene (mio EUR) Dodana vrednost","2012 Tekoèe cene (mio EUR) Dodana vrednost","2013 Tekoèe cene (mio EUR) Dodana vrednost","2014 Tekoèe cene (mio EUR) Dodana vrednost","2015 Tekoèe cene (mio EUR) Dodana vrednost","2016 Tekoèe cene (mio EUR) Dodana vrednost","2017 Tekoèe cene (mio EUR) Dodana vrednost"
"A Kmetijstvo in lov, gozdarstvo, ribištvo",688.7,794.0,711.8,718.6,759.1,814.6,806.2,796.4
"..01 Kmetijska proizvodnja, lov in povezane storitve",440.5,519.9,431.5,425.4,513.2,570.5,539.5,471.2
"..02 Gozdarstvo",243.9,270.0,276.1,288.5,241.4,239.2,262.5,320.1
"..03 Ribištvo in gojenje vodnih organizmov",4.3,4.1,4.2,4.8,4.5,4.9,4.2,5.1
"B Rudarstvo (05-09)",139.3,146.1,143.1,126.5,128.0,124.6,130.3,138.6
"C Predelovalne dejavnosti",6356.1,6748.9,6790.4,6984.6,7385.1,7747.0,8145.6,8866.6
"..10 Proizvodnja živil",372.6,372.6,367.0,384.4,409.2,436.9,460.7,470.6
"..11 Proizvodnja pijaè",90.2,87.5,87.5,83.5,88.1,84.1,85.8,98.3
"..12 Proizvodnja tobaènih izdelkov",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"..13 Proizvodnja tekstilij",109.4,107.1,113.8,100.0,121.3,114.5,119.8,131.3
"..14 Proizvodnja oblaèil",80.5,80.7,73.7,67.5,57.0,58.3,69.0,68.6
"..15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",57.5,79.4,65.4,66.5,75.4,64.5,63.5,74.0
"..16 Obdelava, predelava lesa, izdelkov iz lesa...",202.8,220.4,221.4,219.5,249.1,241.8,254.5,272.4
"..17 Proizvodnja papirja in izdelkov iz papirja",145.9,154.9,158.5,164.9,188.4,182.8,187.9,192.2
"..18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa",140.2,145.1,140.0,136.5,143.8,149.7,152.0,155.2
"..19 Proizvodnja koksa in naftnih derivatov",0.8,0.6,0.6,0.6,0.8,1.3,0.1,0.3
"..20 Proizvodnja kemikalij, kemiènih izdelkov",327.3,366.0,363.1,375.8,407.2,372.7,361.5,392.5
