"SKD DEJAVNOST","2010 Investicije - SKUPAJ","2011 Investicije - SKUPAJ","2012 Investicije - SKUPAJ","2013 Investicije - SKUPAJ","2014 Investicije - SKUPAJ","2015 Investicije - SKUPAJ","2016 Investicije - SKUPAJ","2017 Investicije - SKUPAJ"
"Industrija - SKUPAJ",90720,149056,207731,159557,140476,103205,88922,111069
"B Rudarstvo",3256,3572,1625,1790,865,915,1741,9392
"B05 Pridobivanje premoga",z,2180,z,z,z,z,z,z
"B06 Prodobivanje surove nafte in zemeljskega plina",-,-,-,-,-,-,-,-
"B07 Pridobivanje rud",-,-,-,-,-,-,-,-
"B08 Pridobivanje rudnin in kamnin",260,z,z,z,z,z,z,z
"B09 Storitvene dej.za rudarstvo",z,z,-,-,-,-,-,-
"C Predelovalne dejavnosti",42059,39129,38491,29004,39033,63476,52271,57209
"C10 Prz.živil",2247,2503,1879,699,1006,3150,2247,1368
"C11 Prz.pijaè",1007,352,120,380,393,300,455,z
"C12 Prz.tobaènih izdelkov",-,-,-,-,-,-,-,-
"C13 Prz.tekstila",323,307,68,62,308,159,467,181
"C14 Prz. Oblaèil",z,z,z,z,z,z,z,-
"C15 Prz.usnja, usnjenih in sorodnih izd.",1081,1962,978,z,266,z,765,841
"C16 Obd.,predel.lesa,izd.iz lesa ipd.rz.poh.",417,298,233,135,227,z,z,274
"C17 Prz.papirja in izd.iz papirja",607,807,493,2406,2445,501,4891,2012
"C18 Tisk.in razm.posnetih nosilcev zapisa",z,218,643,57,z,49,z,160
"C19 Prz.koksa in naftnih derivatov",z,-,-,-,-,-,-,-
"C20 Prz.kemikalij,kemiènih izd.",13974,6708,9630,7558,5717,6615,7804,18188
"C21 Prz.farmac.surovin in preparatov",z,3408,z,z,z,z,z,z
"C22 Prz.izd.iz gume in plastiènih mas",1592,2824,2133,1811,2282,2530,1703,2844
"C23 Prz.nekovinskih mineralnih izd.",5464,5856,3929,1501,3116,25500,10764,3692
"C24 Prz.kovin",2740,3171,3291,3409,4434,10325,5773,6896
"C25 Prz.kovinskih izd.,rz.strojev in naprav",916,3279,1225,915,1487,1661,2152,2366
"C26 Prz.raè.,elektronskih,optiènih izd.",68,119,200,100,504,370,846,381
"C27 Prz.elektriènih naprav",3893,3523,3269,2491,6895,2917,2155,6010
"C28 Prz.dr.strojev in naprav",1898,1257,408,209,751,444,821,648
"C29 Prz.mot.voz.,prikolic in polprikolic",1037,1166,4529,1194,3011,1746,1316,4126
"C30 Prz.dr.vozil in plovil",z,z,z,z,z,z,z,z
"C31 Prz.pohištva",346,534,284,56,301,36,2399,119
"C32 Dr.raznovrstne predelovalne dej.",645,729,33,66,z,64,277,116
"C33 Popravila in montaža strojev in naprav",z,72,278,z,z,z,805,424
"D Oskrba z elektrièno energijo,plinom in toplo vodo",45405,106355,167614,128762,100578,38813,34911,44468
"D35 Oskrba z elektrièno energijo,plinom in toplo vodo",45405,106355,167614,128762,100578,38813,34911,44468
