"DEJAVNOST","2010","2011","2012","2013","2014","2015","2016","2017"
"Dejavnost - SKUPAJ",1309.93,1276.32,1388.87,1427.96,1452.67,1509.40,1563.49,1601.81
"A Kmetijstvo In Lov,gozdarstvo,ribištvo",0.52,0.48,0.81,1.50,1.53,1.62,2.75,3.27
"B Rudarstvo",0.27,0.23,0.39,0.72,0.73,0.92,0.98,1.18
"C Predelovalne Dejavnosti",189.78,182.67,185.03,212.67,215.56,232.77,245.63,214.62
"D Oskrba Z El.energijo,plinom In Paro",42.09,51.05,62.11,95.18,99.77,121.32,97.50,112.25
"E Oskr.z Vodo,rav.z Odpl.,odp.,san.okolja",9.71,9.73,10.36,11.46,11.49,13.17,12.30,12.04
"F Gradbeništvo",4.56,4.33,13.53,15.48,16.03,16.84,17.57,16.07
"G Trgovina,vzdrž.in Popravila Mot.vozil",70.67,72.16,79.77,73.15,64.90,73.34,68.79,69.77
"H Promet In Skladišèenje",59.56,60.47,74.91,86.31,85.81,89.65,109.58,119.89
"I Gostinstvo",0.98,0.96,1.08,1.25,1.27,1.48,1.79,1.63
"J Informacijske In Komunikacijske Dej.",0.28,0.38,0.37,0.48,0.50,0.50,0.51,0.62
"K Finanène In Zavarovalniške Dej.",9.08,10.66,8.72,8.66,10.12,8.94,8.99,9.78
"L Poslovanje Z Nepremièninami",0.30,0.33,0.33,0.45,0.48,0.56,0.60,0.59
"M Strokovne,znanstvene In Tehniène Dej.",1.67,1.81,1.57,2.01,2.23,3.14,2.09,2.65
"N Druge Raznovrstne Poslovne Dej.",0.66,0.73,0.76,1.07,1.14,1.12,1.17,1.81
"O Javna Uprava In Obramba,obv.soc.varnost",1.02,1.13,1.21,1.41,1.42,1.51,1.50,1.90
"P Izobraževanje",0.27,0.26,0.33,0.56,0.57,0.58,0.75,0.96
"Q Zdravstvo In Socialno Varstvo",0.56,0.48,0.59,0.68,0.69,0.72,0.95,1.31
"R Kulturne,razvedrilne In Rekreac.dej.",0.21,0.30,0.34,0.46,0.48,0.58,0.61,0.60
"S Druge Dejavnosti",0.46,0.61,0.32,0.68,0.55,0.56,0.59,0.45
"T Dejavnost Gospodinjstev Z Zaposlenim Hišnim Osebjem; Proizvodnja Za Lastno Rabo",-,-,-,-,-,-,-,-
"U Dejavnost Eksteritorialnih Organizacij In Teles",0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
"Gospodinjstvo",917.29,877.51,945.46,913.54,937.35,940.03,988.79,1030.38
"Ne razporejeno",0.00,0.02,0.88,0.24,0.05,0.05,0.05,0.04
