"DEJAVNOST","2010 CO2 (Gg)","2010 N2O (Mg)","2010 CH4 (Mg)","2010 SF6 (Mg)","2011 CO2 (Gg)","2011 N2O (Mg)","2011 CH4 (Mg)","2011 SF6 (Mg)","2012 CO2 (Gg)","2012 N2O (Mg)","2012 CH4 (Mg)","2012 SF6 (Mg)","2013 CO2 (Gg)","2013 N2O (Mg)","2013 CH4 (Mg)","2013 SF6 (Mg)","2014 CO2 (Gg)","2014 N2O (Mg)","2014 CH4 (Mg)","2014 SF6 (Mg)","2015 CO2 (Gg)","2015 N2O (Mg)","2015 CH4 (Mg)","2015 SF6 (Mg)","2016 CO2 (Gg)","2016 N2O (Mg)","2016 CH4 (Mg)","2016 SF6 (Mg)","2017 CO2 (Gg)","2017 N2O (Mg)","2017 CH4 (Mg)","2017 SF6 (Mg)"
"SKD dejavnost - SKUPAJ",13320.2,2204.2,84114.9,17942.8,13428.5,2242.3,83680.7,18181.4,12841.1,2251.6,81796.6,15933.5,12384.3,2158.2,79304.2,15492.3,11014.2,2205.7,76552.4,14998.2,11157.0,2274.0,78484.4,17492.6,11663.5,2300.1,79754.6,17436.2,12119.6,2247.6,78101.3,15811.6
"A Kmetijstvo in lov, gozdarstvo, ribištvo",277.2,1716.5,46204.5,-,270.5,1680.3,45991.8,-,280.9,1653.0,45576.6,-,272.6,1637.3,45188.1,-,284.9,1726.2,46122.3,-,284.8,1732.5,47571.0,-,283.9,1732.3,48410.5,-,286.7,1699.9,47488.4,-
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve",243.8,1711.7,46200.9,-,232.9,1674.7,45988.0,-,244.0,1647.6,45572.7,-,241.8,1633.0,45184.5,-,241.5,1718.1,46116.2,-,238.8,1724.1,47565.1,-,239.0,1724.1,48405.4,-,241.6,1692.3,47483.1,-
"A02 Gozdarstvo",33.4,4.8,3.6,-,37.6,5.6,3.8,-,36.9,5.4,3.9,-,30.8,4.3,3.6,-,43.4,8.1,6.1,-,46.1,8.4,5.9,-,44.9,8.2,5.1,-,45.1,7.6,5.3,-
"A03 Ribištvo in gojenje vodnih organizmov",...,...,...,-,...,...,...,-,...,...,...,-,...,...,...,-,...,...,...,-,...,...,...,-,...,...,...,-,...,...,...,-
"B Rudarstvo",124.0,3.6,11997.6,-,111.8,3.1,12175.7,-,106.9,2.7,11571.9,-,103.5,3.0,10680.4,-,89.2,2.8,8602.1,-,92.5,3.0,8728.1,-,87.2,2.9,9189.9,-,89.6,3.2,9193.4,-
"B(05-09) Rudarstvo",124.0,3.6,11997.6,-,111.8,3.1,12175.7,-,106.9,2.7,11571.9,-,103.5,3.0,10680.4,-,89.2,2.8,8602.1,-,92.5,3.0,8728.1,-,87.2,2.9,9189.9,-,89.6,3.2,9193.4,-
"C Predelovalne dejavnosti",2984.1,45.3,400.9,-,2848.2,44.8,187.9,-,2755.9,43.2,170.4,-,2801.9,46.5,184.4,-,2845.5,53.6,219.8,-,2745.8,54.0,213.4,-,2752.4,57.3,204.0,-,2959.0,63.6,216.4,-
"C(10-12) Proizvodnja živil, pijaè in tobaènih izdelkov",183.3,2.8,5.8,-,179.4,3.1,5.8,-,166.1,3.0,5.5,-,162.0,3.4,6.1,-,181.1,3.7,6.4,-,165.8,3.9,6.2,-,165.1,4.3,4.7,-,175.0,4.9,4.3,-
"C(13-15) Proizvodnja tekstilij, oblaèil, usnja, usnjenih in sorodnih izdelkov",57.0,0.9,4.7,-,49.2,1.0,4.1,-,45.7,1.0,4.0,-,47.0,1.0,4.1,-,42.7,1.0,3.1,-,39.6,1.0,3.0,-,38.6,0.9,1.9,-,39.9,1.0,1.7,-
